,Symbol,Count Week,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Week 1,Week Full
129,STB,1.0,31.5,32.05,30.85,32.05,31.41,0.46,"15,264,760.00","1,839,259.07",1.75,1.75
130,NED,1.0,11.4,11.6,11.4,11.6,11.44,0.09,"991,895.40","519,677.31",1.75,1.75
131,HII,1.0,13.96,14.2,13.53,14.2,13.84,0.27,"885,160.00","250,033.47",1.7,1.7
132,DRC,1.0,32.9,33.45,32.9,34.2,33.55,0.46,"1,377,940.00","782,895.51",1.67,1.67
133,AGM,1.0,60.0,61.0,60.0,61.0,60.54,0.42,"308,300.00","58,096.56",1.67,1.67
134,MVC,1.0,12.6,12.8,12.6,13.1,12.86,0.19,"130,886.60","78,517.60",1.59,1.59
135,NVL,1.0,76.0,77.2,76.0,77.2,76.54,0.55,"3,903,220.00","888,516.66",1.58,1.58
136,VNM,1.0,76.8,78.0,75.1,78.0,76.62,1.09,"2,842,440.00","499,395.94",1.56,1.56
137,V21,1.0,12.8,13.0,11.9,13.0,12.46,0.52,"151,660.00","115,982.04",1.56,1.56
138,VGI,1.0,32.5,33.0,32.5,34.2,33.44,0.68,"873,577.40","560,087.03",1.54,1.54
139,HAH,1.0,92.5,93.9,87.0,94.0,92.08,2.91,"1,504,100.00","546,029.56",1.51,1.51
140,BII,1.0,14.9,15.1,13.9,15.6,14.74,0.69,"4,406,069.20","2,565,558.32",1.34,1.34
141,TDH,1.0,11.3,11.45,11.1,11.7,11.39,0.22,"528,520.00","374,982.23",1.33,1.33
142,DXP,1.0,23.1,23.4,22.4,23.8,23.28,0.56,"486,799.40","257,981.33",1.3,1.3
143,VHC,1.0,78.8,79.8,74.0,79.8,77.32,2.88,"1,546,140.00","688,556.94",1.27,1.27
144,LAS,1.0,23.7,24.0,23.7,24.7,24.0,0.41,"3,147,414.00","857,791.07",1.27,1.27
145,HVX,1.0,7.95,8.05,7.65,8.13,7.93,0.18,"232,780.00","137,433.35",1.26,1.26
146,PV2,1.0,8.1,8.2,7.8,8.5,8.1,0.27,"755,106.00","406,896.70",1.23,1.23
147,BVG,1.0,8.2,8.3,8.0,8.3,8.16,0.15,"508,101.00","96,272.69",1.22,1.22
148,KHB,1.0,8.2,8.3,7.9,8.5,8.18,0.24,"1,696,088.60","363,029.63",1.22,1.22
149,KDC,1.0,53.8,54.4,53.8,55.0,54.3,0.51,"2,857,680.00","196,330.25",1.12,1.12
150,TCM,1.0,73.0,73.8,69.0,73.8,71.54,1.92,"1,382,980.00","479,184.74",1.1,1.1
151,CTC,1.0,9.4,9.5,9.4,9.6,9.46,0.09,"434,074.40","154,342.12",1.06,1.06
152,SHA,1.0,8.37,8.45,8.19,8.45,8.31,0.11,"231,060.00","149,336.71",0.96,0.96
153,STH,1.0,10.6,10.7,10.6,10.8,10.68,0.08,"170,800.20","19,921.45",0.94,0.94
154,JVC,1.0,10.6,10.7,10.6,11.05,10.88,0.21,"5,558,840.00","2,734,241.20",0.94,0.94
155,BNA,1.0,43.8,44.2,43.8,44.5,44.12,0.28,"409,954.80","137,383.10",0.91,0.91
156,PAS,1.0,24.3,24.5,23.7,24.5,24.16,0.31,"2,069,664.00","632,665.86",0.82,0.82
157,DID,1.0,13.2,13.3,13.2,14.1,13.58,0.37,"181,432.20","112,420.23",0.76,0.76
158,LPB,1.0,22.0,22.15,22.0,22.25,22.08,0.12,"7,144,880.00","1,969,841.92",0.68,0.68
159,PVC,1.0,29.4,29.6,29.4,34.4,31.5,2.13,"4,059,019.20","1,668,887.91",0.68,0.68
160,NHH,1.0,30.35,30.55,29.35,30.55,30.0,0.47,"248,380.00","107,105.61",0.66,0.66
161,DST,1.0,15.4,15.5,14.8,15.5,15.1,0.33,"1,221,533.80","478,815.09",0.65,0.65
162,VIC,1.0,78.5,79.0,77.9,79.1,78.5,0.55,"3,274,340.00","1,009,176.14",0.64,0.64
163,KHG,1.0,18.9,19.0,18.4,19.0,18.71,0.25,"1,831,540.00","414,188.55",0.53,0.53
164,AMD,1.0,6.77,6.8,6.77,7.08,6.9,0.13,"7,395,200.00","2,489,326.62",0.44,0.44
165,TTB,1.0,11.25,11.3,11.0,11.3,11.13,0.14,"1,465,440.00","815,451.26",0.44,0.44
166,PVI,1.0,49.5,49.7,49.0,50.5,49.66,0.54,"186,740.80","53,984.80",0.4,0.4
167,DC4,1.0,25.5,25.6,24.9,26.65,25.61,0.64,"334,580.00","86,245.65",0.39,0.39
168,CTG,1.0,32.15,32.25,32.0,32.25,32.11,0.1,"6,070,520.00","2,577,854.25",0.31,0.31
169,HLD,1.0,43.2,43.3,42.3,43.3,42.84,0.42,"108,060.00","38,885.63",0.23,0.23
170,CTI,1.0,22.65,22.7,22.15,22.7,22.46,0.26,"1,099,940.00","569,307.73",0.22,0.22
171,KSB,1.0,47.6,47.7,45.0,47.7,46.73,1.09,"2,687,980.00","1,047,919.96",0.21,0.21
172,FIR,1.0,50.7,50.8,50.5,50.8,50.72,0.13,"282,260.00","16,935.55",0.2,0.2
173,CSV,1.0,59.9,60.0,58.7,61.7,60.22,1.12,"1,377,240.00","426,386.88",0.17,0.17
174,QBS,1.0,7.46,7.47,7.32,7.47,7.41,0.07,"2,318,700.00","612,694.24",0.13,0.13
