,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month Full
164,ST8,3.2,21.85,19.35,17.0,21.95,18.55,1.55,"174,287.50","227,978.19",10.57,5.15,-3.97,-3.73
165,LCG,3.2,13.5,11.95,9.58,14.9,12.34,1.21,"6,901,218.75","3,724,491.26",12.21,-2.61,-3.98,-3.74
166,NBC,3.2,12.2,10.8,10.4,12.6,11.35,0.58,"171,686.42","121,687.01",-1.82,-1.36,-3.98,-3.74
167,MSR,3.2,16.4,14.5,13.5,19.5,16.22,1.59,"396,457.14","410,729.61",0.0,-8.71,-4.02,-3.77
168,MST,3.2,6.0,5.3,4.4,6.1,5.04,0.44,"1,003,695.11","500,937.42",8.16,9.75,-4.05,-3.8
169,GKM,3.2,36.4,32.1,32.0,36.4,34.07,1.23,"339,981.75","264,928.94",-5.87,-0.77,-4.1,-3.85
170,GEX,3.2,24.75,21.8,17.3,25.9,21.57,1.93,"20,752,221.88","8,494,271.24",12.95,5.2,-4.14,-3.89
171,HCM,3.2,33.5,29.5,24.4,35.85,30.16,2.59,"6,091,743.75","2,600,064.50",7.66,-0.34,-4.15,-3.9
172,E1VFVN30,3.2,21.38,18.78,18.3,21.79,19.73,0.99,"538,168.75","458,744.37",0.64,-2.31,-4.23,-3.97
173,ANV,3.2,33.81,29.6,24.6,39.7,32.85,3.83,"2,407,357.81","1,230,087.72",6.47,-11.36,-4.33,-4.07
174,VHC,3.2,77.1,67.5,63.0,84.0,74.72,5.62,"875,146.88","463,833.49",0.0,-8.43,-4.34,-4.07
175,TPB,3.2,19.65,17.1,15.8,19.75,17.39,1.1,"5,856,737.50","2,928,158.62",4.27,1.49,-4.53,-4.25
176,LSS,3.2,13.4,11.65,9.68,13.95,11.92,0.97,"769,643.75","488,522.71",9.39,-1.47,-4.56,-4.28
177,POW,3.2,13.0,11.3,10.6,13.0,11.67,0.66,"5,730,106.25","2,562,852.52",1.8,0.22,-4.56,-4.29
178,DAH,3.2,4.8,4.17,3.69,5.15,4.42,0.43,"554,943.75","417,606.41",4.51,-5.5,-4.58,-4.3
179,NT2,3.2,27.53,23.9,22.45,28.33,24.83,1.49,"607,256.25","373,954.65",1.27,-0.62,-4.6,-4.32
180,BWE,3.2,49.15,42.65,42.2,49.15,45.12,1.72,"160,296.88","123,912.76",-2.29,-4.18,-4.62,-4.34
181,DIG,3.2,28.95,25.1,19.05,29.45,24.35,2.66,"21,319,703.12","6,728,968.45",14.09,3.57,-4.65,-4.36
182,ABB,3.2,8.9,7.7,7.6,9.5,8.26,0.54,"1,222,910.14","1,081,047.69",0.0,-3.68,-4.71,-4.43
183,AAT,3.2,5.77,4.99,4.51,6.04,5.16,0.4,"291,725.00","222,933.18",2.04,-1.85,-4.73,-4.44
184,VHE,3.2,3.7,3.2,3.1,3.8,3.41,0.18,"217,384.27","220,296.45",-3.03,-2.99,-4.72,-4.44
185,HHS,3.2,7.2,6.21,5.2,7.72,6.41,0.56,"2,910,210.94","2,175,268.80",9.33,1.57,-4.81,-4.52
186,PAN,3.2,22.05,19.0,17.5,22.8,19.89,1.42,"1,427,957.81","746,146.26",3.83,-1.16,-4.84,-4.55
187,OGC,3.2,8.01,6.9,5.59,8.15,6.89,0.62,"880,723.44","595,331.93",-6.12,9.45,-4.85,-4.55
188,MSB,3.2,14.9,12.8,12.2,15.1,13.55,0.78,"7,618,359.38","5,311,021.63",-1.54,-3.69,-4.94,-4.64
