,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day Full
140,BII,5.0,14.9,15.1,13.9,15.6,14.74,0.69,"4,406,069.20","2,565,558.32",0.0,-1.62,2.07,2.09,0.27,0.27
141,DXP,5.0,23.1,23.4,22.4,23.8,23.28,0.56,"486,799.40","257,981.33",0.0,-0.63,-0.56,1.1,0.26,0.26
142,TDH,5.0,11.3,11.45,11.1,11.7,11.39,0.22,"528,520.00","374,982.23",0.0,-1.07,0.15,0.78,0.26,0.26
143,LAS,5.0,23.7,24.0,23.7,24.7,24.0,0.41,"3,147,414.00","857,791.07",0.0,0.63,-0.95,0.1,0.25,0.25
144,HVX,5.0,7.95,8.05,7.65,8.13,7.93,0.18,"232,780.00","137,433.35",0.0,-0.49,1.71,0.57,0.25,0.25
145,PV2,5.0,8.1,8.2,7.8,8.5,8.1,0.27,"755,106.00","406,896.70",0.0,-1.78,1.68,0.94,0.25,0.25
146,VHC,5.0,78.8,79.8,74.0,79.8,77.32,2.88,"1,546,140.00","688,556.94",0.0,0.13,2.36,1.9,0.25,0.25
147,KHB,5.0,8.2,8.3,7.9,8.5,8.18,0.24,"1,696,088.60","363,029.63",0.0,-1.18,1.23,1.24,0.24,0.24
148,BVG,5.0,8.2,8.3,8.0,8.3,8.16,0.15,"508,101.00","96,272.69",0.0,0.0,1.23,0.92,0.24,0.24
149,KDC,5.0,53.8,54.4,53.8,55.0,54.3,0.51,"2,857,680.00","196,330.25",0.0,-0.09,-0.36,0.28,0.22,0.22
150,TCM,5.0,73.0,73.8,69.0,73.8,71.54,1.92,"1,382,980.00","479,184.74",0.0,2.31,2.27,0.83,0.22,0.22
151,CTC,5.0,9.4,9.5,9.4,9.6,9.46,0.09,"434,074.40","154,342.12",0.0,-0.52,0.35,0.26,0.21,0.21
152,SHA,5.0,8.37,8.45,8.19,8.45,8.31,0.11,"231,060.00","149,336.71",0.0,0.6,1.05,0.75,0.19,0.19
153,STH,5.0,10.6,10.7,10.6,10.8,10.68,0.08,"170,800.20","19,921.45",0.0,-0.46,0.31,0.0,0.19,0.19
154,JVC,5.0,10.6,10.7,10.6,11.05,10.88,0.21,"5,558,840.00","2,734,241.20",0.0,-1.6,-1.07,-0.69,0.19,0.19
155,BNA,5.0,43.8,44.2,43.8,44.5,44.12,0.28,"409,954.80","137,383.10",0.0,-0.34,0.0,0.17,0.18,0.18
156,PAS,5.0,24.3,24.5,23.7,24.5,24.16,0.31,"2,069,664.00","632,665.86",0.0,0.41,0.69,0.83,0.16,0.16
157,DID,5.0,13.2,13.3,13.2,14.1,13.58,0.37,"181,432.20","112,420.23",0.0,-2.88,-0.5,-0.92,0.15,0.15
158,LPB,5.0,22.0,22.15,22.0,22.25,22.08,0.12,"7,144,880.00","1,969,841.92",0.0,-0.22,0.23,0.17,0.14,0.14
159,PVC,5.0,29.4,29.6,29.4,34.4,31.5,2.13,"4,059,019.20","1,668,887.91",0.0,-5.0,-4.89,-1.39,0.14,0.14
160,NHH,5.0,30.35,30.55,29.35,30.55,30.0,0.47,"248,380.00","107,105.61",0.0,1.17,1.34,0.54,0.13,0.13
161,VIC,5.0,78.5,79.0,77.9,79.1,78.5,0.55,"3,274,340.00","1,009,176.14",0.0,-0.06,0.43,0.35,0.13,0.13
162,DST,5.0,15.4,15.5,14.8,15.5,15.1,0.33,"1,221,533.80","478,815.09",0.0,1.65,1.55,1.16,0.13,0.13
163,KHG,5.0,18.9,19.0,18.4,19.0,18.71,0.25,"1,831,540.00","414,188.55",0.0,0.8,1.08,0.6,0.11,0.11
164,TTB,5.0,11.25,11.3,11.0,11.3,11.13,0.14,"1,465,440.00","815,451.26",0.0,0.9,0.9,0.67,0.09,0.09
165,AMD,5.0,6.77,6.8,6.77,7.08,6.9,0.13,"7,395,200.00","2,489,326.62",0.0,-1.37,-0.34,-1.0,0.09,0.09
166,DC4,5.0,25.5,25.6,24.9,26.65,25.61,0.64,"334,580.00","86,245.65",0.0,-1.99,0.26,0.7,0.08,0.08
167,PVI,5.0,49.5,49.7,49.0,50.5,49.66,0.54,"186,740.80","53,984.80",0.0,-0.8,0.07,0.36,0.08,0.08
168,CTG,5.0,32.15,32.25,32.0,32.25,32.11,0.1,"6,070,520.00","2,577,854.25",0.0,0.23,0.26,0.16,0.06,0.06
169,HLD,5.0,43.2,43.3,42.3,43.3,42.84,0.42,"108,060.00","38,885.63",0.0,0.58,0.54,0.59,0.05,0.05
170,CTI,5.0,22.65,22.7,22.15,22.7,22.46,0.26,"1,099,940.00","569,307.73",0.0,0.22,0.75,0.62,0.04,0.04
171,KSB,5.0,47.6,47.7,45.0,47.7,46.73,1.09,"2,687,980.00","1,047,919.96",0.0,0.9,0.85,1.47,0.04,0.04
172,FIR,5.0,50.7,50.8,50.5,50.8,50.72,0.13,"282,260.00","16,935.55",0.0,0.3,0.0,0.0,0.04,0.04
173,CSV,5.0,59.9,60.0,58.7,61.7,60.22,1.12,"1,377,240.00","426,386.88",0.0,-0.66,-0.93,0.55,0.03,0.03
174,QBS,5.0,7.46,7.47,7.32,7.47,7.41,0.07,"2,318,700.00","612,694.24",0.0,0.81,0.68,0.1,0.03,0.03
175,SDD,5.0,8.1,8.1,8.0,8.5,8.16,0.19,"1,226,784.20","431,343.94",0.0,-2.38,0.41,0.0,0.0,0.0
176,BHA,5.0,11.0,11.0,10.9,11.2,11.02,0.11,"129,440.00","119,524.53",0.0,0.46,0.0,-0.45,0.0,0.0
177,SDP,5.0,6.7,6.7,6.6,6.9,6.7,0.12,"336,394.20","70,384.72",0.0,-1.46,0.5,0.38,0.0,0.0
178,SGB,5.0,18.2,18.2,18.2,18.2,18.2,0.0,"113,940.00","64,817.00",0.0,0.0,0.0,0.0,0.0,0.0
179,ADS,5.0,33.9,33.9,33.3,33.9,33.68,0.3,"588,240.00","122,016.43",0.0,0.0,0.6,0.37,0.0,0.0
180,ACL,5.0,23.0,23.0,21.4,23.85,22.73,0.91,"320,160.00","91,527.20",0.0,-1.8,0.89,1.82,0.0,0.0
181,GTN,1.0,19.1,19.1,19.1,19.1,19.1,,"1,510,000.00",nan,0.0,,,,,0.0
182,DDV,5.0,32.8,32.8,32.3,33.5,32.98,0.52,"5,446,533.20","1,808,518.88",0.0,0.77,-0.7,-0.53,0.0,0.0
183,SJD,5.0,21.25,21.25,21.05,21.25,21.14,0.1,"265,960.00","112,964.01",0.0,0.47,0.32,0.18,0.0,0.0
184,HSV,5.0,12.9,12.9,12.9,13.6,13.16,0.3,"158,723.40","113,500.57",0.0,-0.77,-1.01,-1.31,0.0,0.0
185,PSI,5.0,17.3,17.3,17.3,18.5,17.76,0.51,"719,595.60","131,785.87",0.0,-3.3,-1.31,-0.57,0.0,0.0
186,MTG,5.0,11.4,11.4,10.7,12.5,11.64,0.72,"169,203.20","64,685.60",0.0,-3.33,-3.02,1.6,0.0,0.0
