,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
204,PVD,1.05,27.2,26.9,26.75,28.3,27.65,0.55,"3,364,190.48","1,841,347.46",-1.1,-1.05
205,TTA,1.05,7.96,7.87,7.87,8.05,7.96,0.04,"643,100.00","309,019.65",-1.13,-1.08
206,AAS,1.05,8.5,8.4,8.2,8.7,8.52,0.12,"883,208.90","375,582.48",-1.18,-1.12
207,DCM,1.05,31.9,31.5,30.9,32.6,31.96,0.51,"2,486,404.76","1,198,706.12",-1.25,-1.19
208,DPM,1.05,33.2,32.75,32.55,34.0,33.26,0.48,"1,735,966.67","1,083,029.13",-1.36,-1.29
209,CCL,1.05,7.28,7.18,7.03,7.37,7.2,0.08,"169,576.19","62,886.25",-1.37,-1.31
210,C69,1.05,6.9,6.8,6.8,7.2,7.0,0.12,"254,831.14","87,860.07",-1.45,-1.38
211,VCG,1.05,24.0,23.65,23.35,25.1,24.31,0.46,"6,848,628.57","2,500,562.78",-1.46,-1.39
212,FPT,1.05,96.2,94.7,94.0,97.4,95.87,1.07,"1,812,866.67","695,023.71",-1.56,-1.49
213,VFS,1.05,18.3,18.0,18.0,19.8,18.81,0.62,"714,290.10","1,106,004.90",-1.64,-1.56
214,LCG,1.05,12.05,11.85,11.7,12.3,11.99,0.16,"3,702,147.62","1,493,662.33",-1.66,-1.58
215,VGT,1.05,12.0,11.8,11.7,12.0,11.8,0.11,"269,250.71","199,536.83",-1.67,-1.59
216,LDG,1.05,2.91,2.86,2.86,3.05,2.98,0.05,"3,422,642.86","856,134.71",-1.72,-1.64
217,NHA,1.05,16.9,16.6,16.6,17.9,17.09,0.33,"193,542.86","118,359.98",-1.78,-1.69
218,VGS,1.05,22.0,21.6,21.6,23.4,22.72,0.51,"737,317.57","188,600.38",-1.82,-1.73
219,VIC,1.05,43.8,43.0,43.0,44.6,43.71,0.47,"2,455,857.14","1,024,454.02",-1.83,-1.74
220,VLC,1.05,16.0,15.7,15.3,16.1,15.73,0.22,"136,754.90","109,748.68",-1.88,-1.79
221,PC1,1.05,27.35,26.8,26.8,28.8,27.95,0.53,"1,743,790.48","670,377.51",-2.01,-1.92
222,LAS,1.05,14.7,14.4,13.8,15.0,14.33,0.41,"908,852.62","538,102.07",-2.04,-1.94
223,MSR,1.05,14.5,14.2,14.0,14.6,14.4,0.15,"102,604.10","51,928.24",-2.07,-1.97
224,FRT,1.05,100.0,97.8,97.8,107.0,102.04,2.49,"431,833.33","230,896.04",-2.2,-2.1
225,LGL,1.05,4.09,4.0,4.0,4.19,4.09,0.05,"128,519.05","85,853.13",-2.2,-2.1
226,SCR,1.05,7.15,6.99,6.99,7.4,7.18,0.11,"2,399,433.33","784,469.94",-2.24,-2.13
227,KHG,1.05,6.24,6.1,6.1,6.42,6.27,0.07,"3,356,319.05","992,459.77",-2.24,-2.14
228,GEG,1.05,13.1,12.8,12.8,13.3,13.09,0.14,"368,433.33","171,817.78",-2.29,-2.18
229,SAM,1.05,6.52,6.37,6.37,6.63,6.5,0.08,"358,666.67","148,489.64",-2.3,-2.19
230,LIG,1.05,4.3,4.2,4.2,4.5,4.37,0.07,"664,567.67","326,570.28",-2.33,-2.22
231,GAS,1.05,76.9,75.1,74.7,77.2,75.88,0.72,"811,561.90","251,478.69",-2.34,-2.23
232,PVS,1.05,37.7,36.8,36.5,38.8,37.87,0.64,"3,326,385.67","1,637,316.02",-2.39,-2.27
233,PAS,1.05,4.2,4.1,4.1,4.3,4.24,0.07,"235,994.38","171,719.42",-2.38,-2.27
234,HHP,1.05,10.4,10.15,10.15,10.75,10.43,0.14,"219,023.81","65,551.65",-2.4,-2.29
