,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day Full
94,ABB,7.0,10.7,11.1,10.5,11.1,10.74,0.22,"2,050,496.86","998,850.11",0.0,0.45,1.23,1.4,0.93,0.77,0.53,0.53
95,VPG,7.0,28.55,29.6,28.35,29.6,28.75,0.42,"847,100.00","596,395.81",0.0,1.29,0.86,1.0,0.87,0.57,0.52,0.52
96,PLP,7.0,8.07,8.37,7.94,8.37,8.13,0.13,"186,842.86","93,143.83",0.0,1.84,0.77,1.33,0.68,0.4,0.52,0.52
97,C4G,7.0,11.0,11.4,11.0,11.9,11.46,0.35,"2,005,299.29","742,879.33",0.0,-1.29,-1.42,-0.22,-0.52,0.6,0.51,0.51
98,DC4,7.0,8.8,9.12,8.8,9.12,9.02,0.13,"109,214.29","31,128.73",0.0,0.0,0.44,0.58,0.04,0.02,0.51,0.51
99,JVC,7.0,5.21,5.4,5.18,5.56,5.36,0.15,"1,135,485.71","327,843.35",0.0,0.37,-0.97,-0.64,0.84,0.38,0.51,0.51
100,HID,7.0,6.17,6.39,6.09,6.51,6.33,0.19,"372,514.29","146,026.22",0.0,-0.93,-0.57,-0.46,0.97,0.59,0.5,0.5
101,SCG,7.0,69.2,71.6,69.2,71.6,70.47,0.99,"523,971.71","54,991.50",0.0,0.28,0.0,0.64,0.37,0.47,0.49,0.49
102,NBB,7.0,17.35,17.95,17.35,18.7,17.98,0.44,"749,942.86","329,955.66",0.0,-0.28,-1.36,-0.14,-0.28,0.38,0.49,0.49
103,TTA,7.0,11.75,12.15,11.75,12.2,12.02,0.16,"357,985.71","73,728.45",0.0,-0.21,0.0,0.31,0.42,0.21,0.48,0.48
104,KSB,7.0,25.4,26.25,25.4,26.5,26.09,0.4,"1,322,314.29","279,740.42",0.0,-0.28,-0.19,0.43,-0.19,0.22,0.47,0.47
105,VTD,7.0,17.8,18.4,17.8,18.8,18.37,0.41,"128,074.57","81,639.65",0.0,1.67,-0.36,-0.54,-0.32,-0.09,0.47,0.47
106,KMR,7.0,4.45,4.6,4.45,4.6,4.53,0.07,"112,771.43","59,733.40",0.0,0.11,0.0,0.44,0.49,0.52,0.47,0.47
107,OIL,7.0,12.1,12.5,12.1,12.6,12.38,0.21,"927,388.14","197,411.13",0.0,0.4,-0.27,-0.2,0.17,0.54,0.47,0.47
108,CTI,7.0,13.6,14.05,13.6,14.4,14.14,0.28,"249,757.14","115,867.18",0.0,-0.88,-0.82,-0.53,-0.28,0.06,0.47,0.47
109,AAV,7.0,8.9,9.2,8.9,9.7,9.33,0.25,"176,083.86","130,052.43",0.0,-0.54,-0.71,-0.27,-0.64,-0.88,0.47,0.47
110,VGT,7.0,17.8,18.4,17.8,18.4,18.07,0.28,"850,414.29","252,124.08",0.0,0.0,0.18,0.69,0.67,0.46,0.47,0.47
111,HHV,7.0,13.75,14.2,13.45,14.35,13.97,0.31,"2,251,300.00","749,671.17",0.0,1.26,0.24,0.18,-0.21,0.91,0.46,0.46
112,TIG,7.0,12.5,12.9,12.5,13.1,12.81,0.21,"392,470.14","180,401.70",0.0,-0.39,-0.51,0.59,0.16,0.13,0.45,0.45
113,LIG,7.0,6.3,6.5,6.3,6.7,6.51,0.13,"606,479.86","314,017.34",0.0,-0.76,-1.01,-0.38,0.0,0.26,0.45,0.45
114,TCB,7.0,35.95,37.1,35.95,37.1,36.39,0.43,"3,913,000.00","1,116,854.34",0.0,0.34,0.73,0.69,0.44,0.46,0.45,0.45
115,HHG,7.0,3.1,3.2,3.1,3.3,3.19,0.07,"275,973.71","88,166.75",0.0,-1.53,0.0,0.0,0.0,0.53,0.45,0.45
116,BOT,7.0,6.3,6.5,6.3,6.5,6.43,0.1,"170,335.29","93,954.83",0.0,0.0,0.0,0.39,0.0,0.52,0.45,0.45
117,LPB,7.0,13.95,14.4,13.9,14.65,14.16,0.27,"7,395,771.43","2,937,428.16",0.0,-0.86,0.59,0.89,0.42,0.47,0.45,0.45
118,VPH,7.0,8.77,9.05,8.61,9.18,8.9,0.19,"553,342.86","188,826.31",0.0,0.44,-0.47,0.48,1.0,0.41,0.45,0.45
119,KLF,7.0,3.2,3.3,3.2,3.3,3.29,0.04,"2,228,735.14","1,126,707.45",0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44
120,ASM,7.0,14.45,14.9,14.45,15.15,14.79,0.25,"2,400,471.43","706,800.75",0.0,0.17,-0.55,0.17,0.0,0.51,0.44,0.44
121,PHR,7.0,64.0,66.0,63.6,66.5,65.03,1.18,"539,671.43","170,089.71",0.0,-0.38,0.51,-0.04,0.74,0.51,0.44,0.44
122,MWG,7.0,62.6,64.5,60.0,64.5,62.13,1.67,"3,958,657.14","2,021,497.78",0.0,0.31,1.77,1.82,1.12,0.8,0.43,0.43
123,HNG,7.0,6.22,6.41,6.22,7.01,6.54,0.27,"17,851,914.29","4,336,527.94",0.0,-0.39,-0.57,-2.21,-1.17,0.13,0.43,0.43
124,SRA,7.0,6.7,6.9,6.7,6.9,6.8,0.08,"293,237.86","68,353.68",0.0,0.0,0.49,0.74,0.29,0.24,0.42,0.42
125,CRC,7.0,6.38,6.57,6.38,6.88,6.54,0.19,"371,300.00","443,409.11",0.0,-0.97,-1.53,0.54,0.53,0.36,0.42,0.42
126,TLH,7.0,9.23,9.5,9.16,9.51,9.36,0.14,"602,928.57","291,619.96",0.0,0.0,0.68,0.92,0.38,-0.02,0.41,0.41
127,VTO,7.0,7.61,7.83,7.61,7.9,7.81,0.1,"238,028.57","115,880.57",0.0,-0.38,-0.3,0.03,0.1,-0.02,0.41,0.41
128,AAA,7.0,12.15,12.5,11.75,12.5,12.04,0.24,"5,170,814.29","2,945,312.85",0.0,1.85,1.65,1.56,0.82,0.75,0.41,0.41
129,ITC,7.0,10.25,10.55,10.25,10.7,10.48,0.16,"219,628.57","120,713.53",0.0,0.0,-0.47,0.12,0.1,0.4,0.41,0.41
130,TSC,7.0,7.0,7.2,7.0,7.42,7.2,0.16,"1,855,514.29","618,916.79",0.0,0.35,-1.0,-0.34,-0.36,0.45,0.4,0.4
131,FPT,7.0,82.8,85.1,82.2,85.1,83.71,1.23,"1,526,314.29","643,299.79",0.0,0.06,0.08,0.63,0.5,0.58,0.39,0.39
132,GMD,7.0,49.45,50.8,48.7,51.0,49.79,0.97,"965,300.00","292,588.77",0.0,0.2,-0.13,0.91,0.85,0.6,0.39,0.39
133,VIP,7.0,6.33,6.5,6.33,6.57,6.46,0.08,"105,428.57","28,301.51",0.0,-0.23,-0.36,0.04,0.25,0.23,0.38,0.38
134,DPG,7.0,40.9,42.0,40.1,43.25,41.24,1.09,"823,142.86","338,813.66",0.0,-1.46,1.18,1.16,0.29,0.61,0.38,0.38
135,DIG,7.0,34.76,35.7,32.5,36.4,34.51,1.31,"10,256,300.00","3,607,362.11",0.0,-0.97,1.22,1.68,1.9,0.63,0.38,0.38
136,FMC,7.0,52.6,54.0,52.6,54.2,53.36,0.65,"114,042.86","38,483.63",0.0,-0.18,0.06,0.52,0.37,0.34,0.38,0.38
137,LTG,7.0,35.6,36.5,35.2,37.5,36.3,0.87,"194,660.29","162,707.50",0.0,-0.41,-0.45,-0.67,0.56,0.61,0.36,0.36
138,D2D,7.0,39.95,40.95,39.1,41.3,40.17,0.8,"308,428.57","197,202.65",0.0,-0.42,0.37,0.97,0.47,0.77,0.35,0.35
139,KBC,7.0,35.95,36.85,35.55,37.0,36.34,0.62,"4,705,728.57","1,442,432.55",0.0,0.0,-0.14,0.2,0.69,0.6,0.35,0.35
140,QTP,7.0,15.82,16.2,15.82,16.2,16.1,0.15,"341,302.00","248,158.73",0.0,0.0,0.0,0.15,0.0,0.21,0.34,0.34
141,ADS,7.0,18.5,18.95,18.1,18.95,18.51,0.39,"412,942.86","253,376.93",0.0,0.0,0.27,1.15,0.87,0.72,0.34,0.34
142,HHS,7.0,6.24,6.38,6.24,6.5,6.35,0.09,"1,150,385.71","280,831.44",0.0,0.31,-0.62,0.4,-0.06,0.24,0.32,0.32
143,KHG,7.0,8.04,8.22,8.0,8.35,8.13,0.16,"1,250,457.14","351,488.55",0.0,-0.54,-0.52,0.68,0.54,0.43,0.32,0.32
144,VIX,7.0,10.51,10.75,10.37,11.2,10.74,0.27,"6,707,700.00","1,486,324.20",0.0,-0.92,-1.36,0.12,0.09,0.6,0.32,0.32
145,CLX,7.0,17.7,18.1,17.6,18.4,17.99,0.28,"225,217.14","85,325.81",0.0,-0.82,-0.18,0.14,0.22,0.47,0.32,0.32
146,TCH,7.0,11.26,11.5,11.26,11.84,11.52,0.18,"4,328,414.29","1,555,697.58",0.0,-0.43,-0.98,0.21,0.08,-0.07,0.3,0.3
147,VAB,7.0,9.8,10.0,9.7,10.0,9.81,0.11,"173,481.86","59,322.36",0.0,0.5,1.02,0.76,0.4,0.34,0.29,0.29
148,THD,7.0,56.3,57.4,55.7,57.4,56.63,0.67,"102,675.14","24,035.25",0.0,0.0,0.17,0.75,0.42,0.32,0.28,0.28
149,VHE,7.0,5.0,5.1,5.0,5.3,5.16,0.13,"261,971.43","242,116.86",0.0,-0.97,-1.27,-0.96,-0.39,0.33,0.28,0.28
150,TNG,7.0,26.6,27.1,26.6,27.6,26.94,0.37,"1,702,325.43","564,493.84",0.0,-0.18,-0.61,0.37,0.37,0.19,0.27,0.27
151,LGL,7.0,5.3,5.4,5.3,5.79,5.5,0.16,"178,514.29","93,593.42",0.0,-1.09,-2.3,-0.73,-0.62,0.09,0.27,0.27
152,YEG,7.0,23.35,23.8,23.35,24.9,24.16,0.63,"353,271.43","386,038.02",0.0,-1.84,-1.43,-1.12,-0.04,0.07,0.27,0.27
153,PTB,7.0,59.9,61.0,59.9,62.3,60.99,0.74,"176,485.71","97,310.83",0.0,-0.08,-0.7,-0.12,0.07,0.14,0.26,0.26
154,PVT,7.0,19.25,19.6,19.0,19.95,19.59,0.36,"1,635,857.14","721,908.09",0.0,-0.88,-0.51,-0.32,0.0,0.52,0.26,0.26
155,CST,7.0,16.2,16.5,15.2,16.5,15.76,0.49,"135,640.57","80,069.84",0.0,1.55,2.55,2.07,1.39,0.83,0.26,0.26
156,PVC,7.0,16.6,16.9,16.5,17.1,16.81,0.21,"1,203,320.57","265,707.07",0.0,0.3,-0.2,-0.29,0.12,0.4,0.26,0.26
157,LHG,7.0,34.5,35.1,33.9,35.45,34.66,0.59,"252,471.43","40,714.65",0.0,0.0,-0.33,0.36,0.7,0.53,0.25,0.25
158,SZC,7.0,49.25,50.1,49.2,50.7,49.69,0.54,"826,385.71","249,377.07",0.0,0.81,0.33,-0.3,0.16,0.3,0.24,0.24
159,FCM,7.0,5.24,5.33,5.24,5.38,5.31,0.06,"110,157.14","22,072.60",0.0,-0.28,-0.19,0.33,-0.19,0.25,0.24,0.24
160,HAP,7.0,7.0,7.12,7.0,7.14,7.08,0.06,"198,614.29","66,577.13",0.0,0.14,0.09,0.43,-0.06,0.0,0.24,0.24
161,PAN,7.0,21.95,22.3,21.95,22.7,22.31,0.23,"1,351,214.29","412,914.16",0.0,0.0,-0.59,-0.06,-0.09,0.11,0.23,0.23
162,FUEVFVND,7.0,25.97,26.4,25.5,26.4,25.89,0.34,"1,424,228.57","726,584.53",0.0,0.3,0.64,0.87,0.54,0.56,0.23,0.23
163,CVN,7.0,6.2,6.3,6.2,6.4,6.31,0.09,"149,552.14","119,347.45",0.0,-0.78,-0.52,0.4,0.0,-0.26,0.23,0.23
164,AMD,7.0,3.17,3.22,3.17,3.28,3.21,0.04,"1,241,100.00","378,425.71",0.0,0.0,-0.61,0.23,0.19,0.16,0.22,0.22
165,HBC,7.0,19.5,19.8,19.45,20.95,19.89,0.55,"5,762,685.71","3,333,743.70",0.0,-1.24,-1.86,0.25,0.2,0.3,0.22,0.22
166,APH,7.0,12.95,13.15,12.95,13.4,13.19,0.18,"2,996,957.14","1,729,051.61",0.0,0.38,-0.63,0.1,-0.23,-0.31,0.22,0.22
167,TDC,7.0,13.2,13.4,12.75,13.9,13.31,0.45,"316,300.00","110,540.13",0.0,-1.82,-1.21,0.76,1.0,0.51,0.22,0.22
