,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
117,VLB,4.0,51.5,53.0,51.5,53.0,52.0,0.69,"102,177.00","80,950.23",0.0,1.05,0.9,0.72,0.72
118,DAH,4.0,13.8,14.2,13.55,14.2,13.91,0.3,"2,984,875.00","1,085,672.39",0.0,0.35,1.57,0.72,0.72
119,HIG,4.0,10.5,10.8,10.5,10.8,10.68,0.15,"131,263.00","134,967.49",0.0,0.94,0.0,0.71,0.71
120,TLG,4.0,45.9,47.2,45.1,47.2,46.15,0.88,"137,100.00","70,076.62",0.0,0.86,1.53,0.7,0.7
121,CSI,4.0,64.0,65.8,64.0,68.4,65.57,2.06,"108,175.00","12,474.07",0.0,-1.92,0.88,0.7,0.7
122,VCB,4.0,81.5,83.8,81.5,83.8,82.95,1.02,"1,572,950.00","927,557.54",0.0,0.18,0.32,0.7,0.7
123,DC4,4.0,24.9,25.6,24.9,26.65,25.64,0.74,"310,300.00","77,379.76",0.0,-1.99,0.26,0.7,0.7
124,TTB,4.0,11.0,11.3,11.0,11.3,11.1,0.14,"1,532,950.00","925,327.15",0.0,0.9,0.9,0.67,0.67
125,YEG,4.0,26.65,27.35,26.65,28.5,27.62,0.8,"621,200.00","479,978.96",0.0,-1.17,-1.36,0.65,0.65
126,KCB,4.0,11.7,12.0,11.7,13.2,12.45,0.71,"115,594.00","60,553.77",0.0,-3.55,-3.13,0.63,0.63
127,SSN,4.0,11.7,12.0,11.6,12.0,11.82,0.21,"232,100.00","172,807.35",0.0,1.71,0.0,0.63,0.63
128,VNM,4.0,76.1,78.0,75.1,78.0,76.57,1.25,"2,670,350.00","367,553.10",0.0,0.58,1.27,0.62,0.62
129,CTI,4.0,22.15,22.7,22.15,22.7,22.41,0.28,"1,100,150.00","657,379.72",0.0,0.22,0.75,0.62,0.62
130,VTP,4.0,65.4,67.0,64.8,67.0,66.05,1.12,"174,379.25","68,469.27",0.0,0.0,1.12,0.61,0.61
131,BCE,4.0,16.4,16.8,16.4,17.45,16.85,0.44,"725,275.00","193,934.31",0.0,-1.88,0.1,0.6,0.6
132,KHG,4.0,18.55,19.0,18.4,19.0,18.66,0.26,"1,792,450.00","467,492.62",0.0,0.8,1.08,0.6,0.6
133,HVN,4.0,25.2,25.8,25.0,26.2,25.55,0.55,"3,489,125.00","1,370,687.82",0.0,-0.77,1.06,0.59,0.59
134,HLD,4.0,42.3,43.3,42.3,43.3,42.75,0.42,"104,205.00","43,784.12",0.0,0.58,0.54,0.59,0.59
135,TDN,4.0,21.1,21.6,21.1,24.0,22.48,1.35,"1,222,873.25","728,057.05",0.0,-5.13,-2.35,0.59,0.59
136,V21,4.0,12.7,13.0,11.9,13.0,12.38,0.56,"172,125.00","123,059.62",0.0,4.52,2.99,0.59,0.59
137,VNG,4.0,17.1,17.5,17.1,17.7,17.36,0.29,"281,725.00","86,976.45",0.0,-0.57,0.68,0.58,0.58
138,CET,4.0,8.5,8.7,8.5,9.3,8.95,0.41,"115,830.50","66,704.60",0.0,-3.28,-2.2,0.58,0.58
139,HVX,4.0,7.87,8.05,7.65,8.13,7.92,0.21,"228,250.00","158,262.75",0.0,-0.49,1.71,0.57,0.57
140,HII,4.0,13.88,14.2,13.53,14.2,13.81,0.3,"908,625.00","282,285.21",0.0,2.46,1.34,0.57,0.57
141,C32,4.0,31.1,31.8,31.1,31.8,31.38,0.34,"272,825.00","152,593.54",0.0,0.48,0.74,0.56,0.56
142,VEA,4.0,45.1,46.1,45.0,46.9,45.77,0.9,"287,899.00","325,352.75",0.0,-0.86,0.81,0.55,0.55
143,CSV,4.0,58.7,60.0,58.7,61.7,60.3,1.27,"1,219,475.00","276,542.44",0.0,-0.66,-0.93,0.55,0.55
144,VCR,4.0,46.0,47.0,45.8,47.3,46.52,0.74,"151,159.25","39,973.01",0.0,-0.32,0.87,0.54,0.54
145,MPC,4.0,41.6,42.5,41.2,42.5,41.95,0.66,"241,930.00","154,171.28",0.0,0.0,1.04,0.54,0.54
146,NHH,4.0,29.9,30.55,29.35,30.55,29.91,0.49,"248,800.00","123,670.15",0.0,1.17,1.34,0.54,0.54
147,CKG,4.0,29.0,29.6,28.35,29.6,28.94,0.52,"1,082,825.00","374,959.50",0.0,1.38,1.45,0.51,0.51
148,TV3,4.0,24.3,24.8,24.3,25.0,24.72,0.3,"108,737.50","91,443.69",0.0,-0.4,0.0,0.51,0.51
149,SJF,4.0,15.05,15.35,15.05,16.5,15.59,0.63,"5,288,725.00","1,542,756.95",0.0,-3.55,-0.22,0.49,0.49
150,HAX,4.0,33.6,34.25,33.6,35.95,34.7,1.01,"1,175,550.00","352,875.26",0.0,-1.08,-1.6,0.48,0.48
151,C69,4.0,15.8,16.1,15.8,16.5,16.1,0.29,"455,268.25","156,562.70",0.0,-1.22,0.21,0.47,0.47
152,AGG,4.0,48.1,49.0,48.1,49.85,49.2,0.84,"796,250.00","448,746.87",0.0,-0.86,-0.57,0.46,0.46
153,NED,4.0,11.4,11.6,11.4,11.6,11.45,0.1,"1,081,324.25","553,867.50",0.0,0.87,0.58,0.44,0.44
154,NKG,4.0,49.1,49.95,49.1,51.2,50.36,1.03,"13,074,700.00","2,642,239.67",0.0,-1.23,-0.82,0.43,0.43
155,DL1,4.0,11.8,12.0,11.5,12.0,11.77,0.21,"1,685,260.25","393,780.82",0.0,0.84,1.43,0.42,0.42
156,TCD,4.0,24.4,24.8,24.15,25.8,24.79,0.73,"2,257,175.00","718,185.02",0.0,-1.96,0.89,0.41,0.41
157,LTG,4.0,42.0,42.7,42.0,42.7,42.23,0.33,"1,121,427.75","142,289.94",0.0,0.59,0.55,0.41,0.41
158,SMC,4.0,41.0,41.65,41.0,42.1,41.69,0.5,"341,950.00","81,611.29",0.0,-0.54,-0.28,0.39,0.39
159,AAS,4.0,31.8,32.3,31.8,32.7,32.23,0.38,"603,831.25","233,872.25",0.0,-0.61,0.21,0.39,0.39
160,NVL,4.0,76.0,77.2,76.0,77.2,76.67,0.54,"3,877,900.00","1,023,885.63",0.0,0.13,0.3,0.39,0.39
161,SDP,4.0,6.6,6.7,6.6,6.9,6.7,0.14,"316,838.50","63,685.50",0.0,-1.46,0.5,0.38,0.38
162,ADS,4.0,33.4,33.9,33.3,33.9,33.62,0.32,"591,775.00","140,596.48",0.0,0.0,0.6,0.37,0.37
163,DXG,4.0,40.0,40.6,38.85,40.6,39.89,0.74,"11,181,225.00","3,690,637.05",0.0,0.62,1.48,0.37,0.37
164,PVI,4.0,49.0,49.7,49.0,50.5,49.7,0.62,"179,543.75","59,502.06",0.0,-0.8,0.07,0.36,0.36
165,MBB,4.0,31.0,31.45,30.75,31.45,31.06,0.29,"18,219,325.00","7,712,600.02",0.0,0.64,0.75,0.36,0.36
166,PTL,4.0,14.3,14.5,14.3,14.75,14.46,0.21,"788,600.00","138,753.81",0.0,-0.85,0.46,0.35,0.35
167,VIC,4.0,77.9,79.0,77.9,79.1,78.5,0.64,"3,482,275.00","1,034,247.98",0.0,-0.06,0.43,0.35,0.35
168,SCL,4.0,21.2,21.5,21.1,22.3,21.53,0.54,"142,217.25","20,752.65",0.0,-1.81,0.63,0.35,0.35
169,PET,4.0,51.8,52.5,51.0,52.5,51.92,0.69,"1,340,000.00","439,559.47",0.0,0.1,0.97,0.34,0.34
170,MIG,4.0,23.4,23.7,23.4,23.95,23.71,0.23,"375,825.00","54,893.56",0.0,-0.52,-0.14,0.32,0.32
